player,acronym,position
Karim-Benzema,FW,Forwards
Lionel-Messi,MF,Midfielders
Luka-Modric,MF,Midfielders
Cristiano-Ronaldo,MF,Midfielders
Kaka,MF,Midfielders
Fabio-Cannavaro,DF,Defenders
Ronaldinho,MF,Midfielders
Andriy-Shevchenko,FW,Forwards
Pavel-Nedved,MF,Midfielders
Ronaldo,FW,Forwards
Michael-Owen,FW,Forwards
Luis-Figo,MF,Midfielders
Rivaldo,MF,Midfielders
Zinedine-Zidane,MF,Midfielders
Matthias-Sammer,DF,Defenders
George-Weah,FW,Forwards
Hristo-Stoichkov,MF,Midfielders
Roberto-Baggio,MF,Midfielders
Marco-van-Basten,FW,Forwards
Jean-Pierre-Papin,FW,Forwards
Lothar-Matthaus,DF,Defenders
Ruud-Gullit,MF,Midfielders
Igor-Belanov,MF,Midfielders
Michel-Platini,MF,Midfielders
Paolo-Rossi,FW,Forwards
Karl-Heinz-Rummenigge,FW,Forwards
Kevin-Keegan,FW,Forwards
Allan-Simonsen,FW,Forwards
Franz-Beckenbauer,DF,Defenders
Oleg-Blokhin,DF,Defenders
Johan-Cruyff,MF,Midfielders
Gerd-Muller,FW,Forwards
Gianni-Rivera,MF,Midfielders
George-Best,MF,Midfielders
Florian-Albert,FW,Forwards
Bobby-Charlton,MF,Midfielders
Eusebio,FW,Forwards
Denis-Law,FW,Forwards
Lev-Yashin,GK,Goalkeepers
Josef-Masopust,MF,Midfielders
Omar-Sivori,MF,Midfielders
Luis-Suarez,MF,Midfielders
Alfredo-Di-Stefano,FW,Forwards
Raymond-Kopa,MF,Midfielders
Stanley-Matthews,MF,Midfielders
